Date Created,Number of Likes,Source of Tweet,Tweets
2023-03-24 06:02:28+00:00,52,Twitter Web App,"Hence, while looking for a solution to the NK problem, the International Community should take into account the entire historical legal-political background, otherwise any solution built upon irrelevant examples will lead to the deepening of the problem and its non-resolution."
2023-03-24 06:02:28+00:00,167,Twitter Web App,"With its entire legal &amp; political history Nagorno Karabagh is incomparable with the Donetsk, Lugansk or Serbs of Kosovo, because it՛s always been an autonomy, &amp; a self-proclaimed state in the last 30 years. Moreover, NK conflict predates the collapse of USSR, unlike those listed."
2023-03-23 04:47:01+00:00,221,Twitter for iPhone,After the @StateDept statement Azerbaijani forces shot and killed an Armenian soldier in the sovereign territory of Armenia. The practice of putting a mark of equality between the aggressor &amp; the victim of that aggression is unacceptable and encourages the aggressor. @SecBlinken https://t.co/E3dzQNLEm3
2023-03-22 08:06:18+00:00,11,Twitter for iPhone,Իմ մեկնաբանությունները Լաչինի միջանցքի շրջափակման 100-րդ օրվա և Ադրբեջանի պահվածքի մասին: https://t.co/e2X5oAuvNA
2023-03-20 20:02:42+00:00,275,Twitter for iPhone,It's never enough for a bloodthirsty regime and its puppets to starve 120000 people of Nagorno Karabakh. Now their pseudo-eco-activist threatens to kill all Armenians and literally drink their blood. Are we truly in the 21st century? Is there a civilized world somewhere around? https://t.co/OIjh7F7Rf2
2023-03-20 14:04:44+00:00,49,Twitter for iPhone,"Forcibly displaced Armenians of Nagorno Karabakh call on UNHCR, Pashinyan, Putin and Aliyev to organize their return. Representatives of the forcibly displaced Armenian population of Nagorno Karabakh released a statement https://t.co/C46XULpIUy"
2023-03-20 08:05:49+00:00,69,Twitter for iPhone,Daily disinformation from Azerbaijan.
2023-03-19 13:11:39+00:00,120,Twitter for iPhone,Clear cut testimony of ethnic cleansing and the “proud” photo of the author of the ethnic cleansing of thousands Armenians in Nagorno-Karabakh.
2023-03-17 13:05:20+00:00,14,Twitter for iPhone,Ալիևն արեց շատ վտանգավոր հայտարարություն. Էդմոն Մարուքյան https://t.co/CIS01BC7DR via @YouTube
2023-03-15 08:55:39+00:00,37,Twitter for iPhone,Daily disinformation from Azerbaijan
2023-03-14 18:53:51+00:00,5,Twitter for iPhone,"Խոսել ենք Հայաստան - ՀԱՊԿ, Հայաստան - ՌԴ հարաբերություններից, ԵՄ դիտորդական առաքելությունից և խաղաղության պայմանագրի բանակցային գործընթացից: https://t.co/H9DMrygYgH"
2023-03-13 22:04:39+00:00,138,Twitter for iPhone,Daily attacks by Azerbaijan on democratic Armenia… What do you think about this @SecBlinken @CharlesMichel @EmmanuelMacron @JosepBorrellF @vonderleyen @OlafScholz any sanctions ? https://t.co/pEsXhPqDyv
2023-03-13 06:14:19+00:00,177,Twitter for iPhone,"Hajiyev claims there won't be international mechanisms for security and rights of NK Armenians. He insists that it's Azerbaijan's internal affair. I must remind again: fundamental human rights &amp; freedoms, security of thousands of people aren't considered internal issue since WW2."
2023-03-10 16:53:45+00:00,143,Twitter for iPhone,"Azerbaijan violated the ceasefire in Nagorno Karabakh. On one hand Aliyev keeps stating that they're ready to talk with NK Armenians, those who're born there, on the other hand, they attack the people who're born and live in NK peacefully. Now the world knows what Aliyev means."
2023-03-09 17:15:23+00:00,62,Twitter for iPhone,"Today, around 5:50 p.m., the #Azerbaijani Armed Forces opened fire from different caliber firearms towards the Armenian positions in the direction of #VerinShorzha. As I said before the International community must deter new attacks against democratic Armenia &amp; Nagorno Karabakh."
2023-03-09 09:35:58+00:00,49,Twitter for iPhone,"Daily disinformation from Azerbaijan, which few days ago in a terrorist attack killed 3 policemen who were peacefully serving to the people of Nagorno Karabakh."
2023-03-08 06:21:32+00:00,20,Twitter for iPhone,Happy International Women’s Day!
2023-03-07 18:24:09+00:00,14,Twitter for iPhone,Ադրբեջանի ՊՆ-ի հնչեցրած պատերազմական սպառնալիքների և մեր անելիքների մասին:  https://t.co/bjDqsmpk4n
2023-03-07 17:37:29+00:00,58,Twitter for iPhone,"Daily disinformation from Azerbaijan, which days ago killed 3 policemen who were peacefully serving to the people of Nagorno Karabakh."
2023-03-06 07:55:37+00:00,104,Twitter for iPhone,Yesterday's attack by AZ sabotage group isn't the last news. Today AZ spreads fake news about shootings from the ARM positions. AZ always spreads such lies while preparing for new provocation or attack. The Intl community must deter new attacks against Armenia &amp; Nagorno Karabakh.
2023-03-06 07:06:33+00:00,66,Twitter for iPhone,"Daily disinformation from Azerbaijan, which yesterday killed 3 policemen who were peacefully serving to the people of Nagorno Karabakh."
2023-03-05 18:56:15+00:00,111,Twitter for iPhone,With clear cut evidence!
2023-03-05 18:55:44+00:00,64,Twitter for iPhone,Just ordinary terrorist attack against peaceful people of Nagorno Karabakh…
2023-03-05 16:27:40+00:00,270,Twitter for iPhone,"Aliyev has repeatedly stated that they are ready to talk with NK Armenians, but with those who're born there. As a result of Azerbaijani sabotage, the 3 policemen killed today were born and lived in NK, had families and children. Is this how Aliyev wants to talk to NK Armenians? https://t.co/pWopErO63K"
2023-03-05 10:11:38+00:00,179,Twitter for iPhone,"Today Azerbaijani sabotage group attacked and killed 3 police officers of #NagornoKarabakh, another police officer is hospitalized. Again, Azerbaijan tries to justify yet another terrorist act against NK peaceful people by fake claims, which have already been defeated in @CIJ_ICJ https://t.co/0BqfNiaBcn"
2023-03-04 07:10:46+00:00,48,Twitter for iPhone,Welcome to Armenia @USAmbYerevan Kvin !!! Looking forward to our fruitful cooperation in upcoming years.
2023-03-03 14:51:06+00:00,81,Twitter for iPhone,Inspired by its impunity the Azerbaijani military continues violence in Nagorno Karabakh…
2023-02-27 16:31:32+00:00,114,Twitter for iPhone,"35 years after the Sumgait massacres, for about 80 days, Azerbaijan has illegally blockaded the #LachinCorridor. The purpose of this operation is to ethnically cleanse the remaining 120,000 Armenians of #NagornoKarabakh.

MFA statement⤵️
https://t.co/ZdPARtWz73… https://t.co/SJqfYfMgTj"
2023-02-24 17:47:15+00:00,59,Twitter for iPhone,"The situation in the Lachin corridor requires immediate action, PACE monitors for Armenia: https://t.co/a3x6XcdlZM"
2023-02-24 08:11:14+00:00,6,Twitter for iPhone,"Марукян отметил, что Гаагский суд этим решением еще больше укрепил и признал легитимными на международно-правовом уровне обязательства, взятые Азербайджаном в рамках Трехстороннего заявления от 9 ноября 2020 года.
https://t.co/4yCZGWY9rx"
2023-02-23 17:41:22+00:00,20,Twitter for iPhone,Խոսել եմ ՄԱԿ-ի Արդարադատության միջազգային դատարանի որոշման քաղաքական և իրավական հետևանքների մասին: https://t.co/RSTIVQMQ0a
2023-02-23 09:16:53+00:00,4,Twitter for iPhone,@CIJ_ICJ ruled against Azerbaijan's false claims about moving mines through the #LachinCorridor. I am curious to see the faces of those Azeri politicians who attacked me when I claimed that Azerbaijan's narrative about mines is yet another fake propaganda.
2023-02-20 06:58:21+00:00,70,Twitter for iPhone,"Over 100 multinational companies currently operate in Azerbaijan, a country that has imposed a tight blockade on the Armenian inhabitants of Artsakh.
https://t.co/ndPBbKqz0J"
2023-02-14 20:58:54+00:00,82,Twitter for iPhone,Azerbaijan: Blockade of Lachin corridor putting thousands of lives in peril must be immediately lifted  - Amnesty International https://t.co/ZPhnbnhQhV
2023-02-14 04:31:51+00:00,103,Twitter for iPhone,“Peace cannot be kept by force. It can only be achieved by understanding.” - Albert Einstein
2023-02-09 17:38:46+00:00,72,Twitter for iPhone,"Artsakh’s entire economy is heavily dependent on Armenia, and the blockade of the Lachin Corridor has made it more vulnerable, giving Azerbaijan the ability to weaponize Artsakh’s energy supply and control over its critical infrastructure. https://t.co/WHiCc8rY9B"
2023-02-08 16:24:08+00:00,169,Twitter for iPhone,"Having nothing else to do, AZ media spreads another lie claiming that Armenia and Iran are going to attack the Lachin Corridor, blocked already for 60 days. AZ must unblock Lachin Corridor as it blocked it for ethnic cleansing. Your lies won't divert the international community."
2023-02-07 15:30:05+00:00,227,Twitter for iPhone,#Armenia deploys rescue personnel to #Syria &amp; #Türkiye to support the rescue work in #earthquake-affected regions. https://t.co/2rzXodq8oS
2023-02-05 09:35:11+00:00,61,Twitter for iPhone,@NasimiAghayev It’s impossible to manipulate with your fake narratives.
2023-01-30 10:21:49+00:00,16,Twitter Web App,"Посол по особым поручениям Республики Армения: если Алиев прав, то почему Азербайджан отказывается от международной миссии по установлению фактов | https://t.co/z0mSYZ17Tx | Карабахское независимое информационное агентство https://t.co/dDez0sdUgo"
2023-01-28 06:36:27+00:00,137,Twitter for iPhone,"So called Azerbaijani ""eco activists"" are making marsh mellow on a fire making fun of the blockade of Lachin Corridor, which is backed by the state of Azerbaijan. The state sponsored starvation of NK 120k people, 30K kids must be condemned along with targeted sanctions of IntCom. https://t.co/OeXzPzjc21"
2023-01-26 14:56:23+00:00,11,Twitter for iPhone,"Խոսել ենք Հայաստան ժամանող ԵՄ քաղաքացիական լիարժեք առաքելության մասին, ինչպես նաև Լաչինի միջանցքի փակման միջազգային արձագանքների և արտաքին քաղաքական այլ հարցերի մասին։ https://t.co/2Ms31I1vzA"
2023-01-23 12:39:18+00:00,162,Twitter for iPhone,"The EU Council agreed on a civilian EU Mission in Armenia. The objective of the Mission is to contribute to stability in the border areas of Armenia, build confidence on the ground, and ensure an environment conducive to normalisation efforts between ARM &amp; AZ supported by the EU."
2023-01-23 06:03:23+00:00,208,Twitter for iPhone,"Lachin Corridor has been blockaded by Azerbaijan for 43 days. Aliyev keeps ensuring all international partners that the Corridor is open and that AZ is not starving 120K people with its ethnic cleansing policy. If this is true, why AZ denies an international fact-finding mission? https://t.co/SRJ1DSm0ng"
2023-01-20 07:06:11+00:00,197,Twitter for iPhone,"Day 40, Azerbaijan backed humanitarian crisis in Nagorno Karabakh is still on. The sole purpose of blockade of Lachin Corridor is ethnic cleansing of NK Armenians, a crime against humanity. Blockade of any life channel is an act of aggression. We must name things by their names. https://t.co/7qLkMGWsRJ"
2023-01-19 19:43:49+00:00,17,Twitter for iPhone,"Միջազգային ճնշում Ադրբեջանի վրա՝ բացելու Լաչինի միջանքը, դադարեցնելու էթնիկ զտման գործողությունները և վերականգնելու բանակցային գործընթացը: https://t.co/e5EXFqyHXy"
