Date Created,Number of Likes,Source of Tweet,Tweets
2023-03-23 12:50:27+00:00,1565,Twitter Web App,"There will be a #peace treaty between #Armenia and #Azerbaijan, and it will be based on the joint official statements adopted at the highest level. There won’t be а new escalation! The international community must strongly support this narrative."
2023-02-13 10:38:12+00:00,463,Twitter for iPhone,"Dear Mr. @Christodulides, I'd like to extend my warm congratulations to You on being elected as the 8th President of the Republic of #Cyprus. 

🇦🇲-🇨🇾 relations are deepening in all areas of mutual interest, on bilateral &amp; multilateral formats, &amp; you have an immense input in it."
2023-02-06 08:57:57+00:00,5896,Twitter Web App,Saddened by the news of the devastating earthquake in #Türkiye &amp; #Syria that resulted in the loss of so many lives. Our deepest condolences to the families of the victims and we wish a speedy recovery to the injured. Armenia is ready to provide assistance.
2023-01-05 14:31:05+00:00,1335,Twitter for iPhone,Merry Christmas to all Armenians around the world. https://t.co/wHqLgrlK7v
2022-12-19 05:42:07+00:00,1227,Twitter Web App,"8 days Lachin corridor is closed by #Az and people of Nagorno Karabakh are stuck on the roads in the cold, families are finding themselves in different sides of the blockade. Citizens with serious health problems are deprived of medicine and health service."
2022-12-15 09:41:35+00:00,707,Twitter Web App,"The closure of the #Lachin Corridor is a gross violation of 9/11/2020 trilateral statement by #Az, since according to point 6 of the statement, the corr. is under the control of #RF peacekeepers and Az guarantees the safety of movement of citizens, transport and goods through it."
2022-12-15 09:11:07+00:00,1430,Twitter Web App,"As a result of the closure of #Lachin corridor and cutting the gas supply by #Azerbaijan, 120000 people in #NK have appeared in the status of a hostage. Schools and kindergartens are forced to suspend works; 22000 children are deprived of the right to education."
2022-11-19 14:47:14+00:00,464,Twitter Web App,"Aujourd'hui, l'Arménie a transmis la présidence de l'Organisation internationale de la #Francophonie à la #Tunisie . Je souhaite au pays président de réussir à mettre en œuvre les priorités de la Francophonie. 
#Francophonie  
#SommetDjerba2022 https://t.co/Sq6Afe4ams"
2022-11-18 15:57:46+00:00,358,Twitter Web App,"One more step, in line with all other steps previously presented, to create stability in the region and move towards peace. https://t.co/xaqHDqbz5X"
2022-11-14 18:06:33+00:00,878,Twitter for iPhone,"Dressed in mil uniform &amp; in military audience #AZ pres Aliyev in his threatening &amp; aggressive speech of Nov 8 announced that Sisian, Goris, Kapan &amp; other #ARM towns are in field of their view &amp; ARM understands what it means. It is blatant act of terrorizing civil population."
2022-11-14 03:57:05+00:00,996,Twitter Web App,"#AZ calls #Armenians of #NK ""our citizens"" &amp;, at the same time, shoots at them while they’re doing agricultural work. 3 civilians have been killed and 16 wounded since 11/9/2020 with 54 cases of attempted murder. Is this implementation of Az narrative saying “NK issue is solved”?"
2022-11-11 07:11:27+00:00,737,Twitter Web App,"In his latest speech, president Aliyev flagrantly violated the agreement on refraining from the threat or use of force, stipulated in Sochi trilateral statement. Oddly enough, he accuses #Armenia of violating mutually agreed statements!"
2022-11-06 17:17:19+00:00,514,Twitter for iPhone,"Հայաստանի Հանրապետության օրհներգը առաջին անգամ հնչեց մարմնամարզության աշխարհի առաջնություններում։ Շնորհակալություն հենացատկի աշխարհի չեմպիոն, մարմնամարզիկ #ԱրթուրԴավթյանին։"
2022-11-06 07:23:53+00:00,199,Twitter for iPhone,"From now, I assume the position of the Chairman of the Board of the ""#CivilContract"" party. It is a great honor and responsibility. I am grateful to the delegates of the 6th party conference and the newly elected members of the Board."
2022-11-06 07:22:45+00:00,309,Twitter for iPhone,"Այսօրվանից ստանձնում եմ «Քաղաքացիական պայմանագիր» կուսակցության Վարչության նախագահի պաշտոնը։ Մեծ պատիվ է ու մեծ պատասխանատվություն։ Շնորհակալ եմ ՔՊ 6-րդ համաժողովի բոլոր պատվիրակներին, նորընտիր Վարչության բոլոր անդամներին։"
2022-10-28 05:52:57+00:00,390,Twitter Web App,"#Армения в начале сентября дала согласие работать на основе базовых принципов и параметров установления мжг отношений между Арменией и #Азербайджаном, представленных РФ, и готова подтвердить это в #Сочи. Надеемся, Россия поддержит свои предложения."
2022-10-25 08:49:51+00:00,827,Twitter Web App,Since 9/14 #Azerbaijan has been creating different obstacles for search operations of dead bodies of #Armenian soldiers in the zone of the latest Azerbaijani occupation. This is anti-humanistic and unacceptable behavior.
2022-10-19 05:22:54+00:00,1038,Twitter Web App,"There are 777 missing Armenians from the 1st #NagornoKarabakh war, 217 from the 2nd NK war, and 29 missing Armenians from the September 13th aggression of #Azerbaijan against #Armenia. We hope Azerbaijan will cooperate in clarifying the destiny of our compatriots."
2022-10-18 14:08:08+00:00,149,Twitter Web App,https://t.co/ZN2ku9U2V3
2022-10-18 14:08:00+00:00,435,Twitter Web App,The tweet below and the reactions to it prove that no one can blame #Armenia for avoiding its obligations. I reiterate that we are ready to open 3 checkpoints to fulfil our obligations &amp; work towards utilizing opportunities arising from comprehensive unblocking of the region.
2022-10-18 14:04:52+00:00,544,Twitter for iPhone,Is there any unilateral obligation of #Armenia to construct new roads btw west regions of 🇦🇿 &amp; Nakhijevan in the 11/9 Trilateral statement? NO! Could it happen upon agreement btw 🇦🇲 &amp; 🇦🇿 . YES! 🇦🇲 is ready to do it according to its legislation. Positive reaction of Az. is needed.
2022-10-18 14:00:52+00:00,1100,Twitter Web App,"Can anyone find any mention of a “corridor” referring to the territory of #Armenia in the 11/9 Trilateral statement? Of course no! Is there any mention of a “corridor” in the 11/9 Trilateral statement? Yes, and it’s the Lachin corridor to #NagornoKarabakh. That’s the only one."
2022-10-18 07:59:54+00:00,312,Twitter Web App,"Creating fake news on ""ceasefire violations By #Armenia""

https://t.co/mCfG8jmqdY"
2022-10-17 13:58:56+00:00,1285,Twitter Web App,"#Azerbaijan is continuously attributing its own ceasefire violations to #Armenia. Obviously, this is a creation of a pretext for new military aggression against #Armenia. A permanent international mechanism is needed to maintain the ceasefire regime and provide border security."
2022-10-17 06:45:27+00:00,603,Twitter Web App,A draft decision of @armgov on opening of 3 checkpoints on the #Armenian-#Azerbaijani border to provide connection between eastern #Azerbaijan &amp; #Nakhchivan is being formally circulated for several months. Government of #Armenia is waiting for positive reaction from Azerbaijan.
2022-10-15 15:29:50+00:00,182,Twitter for iPhone,@Armenia has proposed to @Azerbaijan to hold a meeting of Commissions on delimitation and border security on 31 October in Brussels.
2022-10-07 05:51:21+00:00,1127,Twitter for iPhone,"In Prague I reconfirmed again our proposal on unblocking of all regional communications. @Azerbaijan again did not respond positively. I reiterate, @Armenia is ready for unblocking of all regional communications with full respect of our sovereignty and legislation."
2022-10-04 16:22:58+00:00,2049,Twitter for iPhone,I highly appreciate the efforts of the United States for assisting to return our 17 POW’s. I hope with joint efforts together with our international partners we will further register progress in resolving both humanitarian issues and establishing peace in the region.
2022-10-03 07:13:53+00:00,1521,Twitter for iPhone,"This is already the second time when @Azerbaijan refuses to fulfill its promise to release Armenian POWs. The first case was in May, when a promise was made in Brussels, and the second time is now, when in Washington Azerbaijan committed to release 17 Armenian POWs until 9/30."
